translationKey,domain,originalOrder,guideOrder,traditionalTitle,localizedTitle,traditionalPath,localizedPath,traditionalFile,localizedFile
acupuncture-001,acupuncture,1,10,穴位也許不是「點」：《針灸甲乙經》裡隱藏的相位控制圖,ツボは「点」ではないかもしれない――『鍼灸甲乙経』に隠れた位相制御図,/acupuncture_concept/01-穴位也許不是點-針灸甲乙經裡隱藏的相位控制圖/,/ja/acupuncture_concept/01-穴位也許不是點-針灸甲乙經裡隱藏的相位控制圖/,acupuncture_concept/穴位也許不是點-針灸甲乙經裡隱藏的相位控制圖.md,acupuncture_concept/穴位也許不是點-針灸甲乙經裡隱藏的相位控制圖_日文.md
acupuncture-002,acupuncture,2,20,三條幾何語法，為什麼能回溯近九成《甲乙經》穴位主治？,三つの幾何学文法は、なぜ『甲乙経』穴位主治の約九割を遡及できるのか,/acupuncture_concept/02-三條幾何語法-為什麼能回溯近九成甲乙經穴位主治/,/ja/acupuncture_concept/02-三條幾何語法-為什麼能回溯近九成甲乙經穴位主治/,acupuncture_concept/三條幾何語法-為什麼能回溯近九成甲乙經穴位主治.md,acupuncture_concept/三條幾何語法-為什麼能回溯近九成甲乙經穴位主治_日文.md
acupuncture-003,acupuncture,3,30,一個腳上的穴，為什麼會治頭與咽喉？遠端取穴的幾何答案,足のツボがなぜ頭と咽喉を治すのか――遠隔取穴の幾何学的な答え,/acupuncture_concept/03-一個腳上的穴-為什麼會治頭與咽喉-遠端取穴的幾何答案/,/ja/acupuncture_concept/03-一個腳上的穴-為什麼會治頭與咽喉-遠端取穴的幾何答案/,acupuncture_concept/一個腳上的穴-為什麼會治頭與咽喉-遠端取穴的幾何答案.md,acupuncture_concept/一個腳上的穴-為什麼會治頭與咽喉-遠端取穴的幾何答案_日文.md
acupuncture-004,acupuncture,4,40,井、滎、輸、經、合不是五個古老名詞：它們可能是一套邊界控制棧,井・滎・輸・経・合は五つの古語ではない――境界制御スタックの可能性,/acupuncture_concept/04-井滎輸經合不是五個古老名詞-它們可能是一套邊界控制棧/,/ja/acupuncture_concept/04-井滎輸經合不是五個古老名詞-它們可能是一套邊界控制棧/,acupuncture_concept/井滎輸經合不是五個古老名詞-它們可能是一套邊界控制棧.md,acupuncture_concept/井滎輸經合不是五個古老名詞-它們可能是一套邊界控制棧_日文.md
acupuncture-005,acupuncture,5,50,六氣真的寫在經絡相位上嗎？風、寒、濕、火窗口與一個意外的漏洞,六気は経絡位相に書き込まれているのか――風・寒・湿・火の窓と意外な穴,/acupuncture_concept/05-六氣真的寫在經絡相位上嗎-風寒濕火窗口與一個意外漏洞/,/ja/acupuncture_concept/05-六氣真的寫在經絡相位上嗎-風寒濕火窗口與一個意外漏洞/,acupuncture_concept/六氣真的寫在經絡相位上嗎-風寒濕火窗口與一個意外漏洞.md,acupuncture_concept/六氣真的寫在經絡相位上嗎-風寒濕火窗口與一個意外漏洞_日文.md
acupuncture-006,acupuncture,6,60,風池為什麼叫「風池」？古人穴名可能不是詩意，而是壓縮碼,風池はなぜ「風池」と呼ばれるのか――穴名は詩ではなく圧縮コードかもしれない,/acupuncture_concept/06-風池為什麼叫風池-古人穴名可能不是詩意而是壓縮碼/,/ja/acupuncture_concept/06-風池為什麼叫風池-古人穴名可能不是詩意而是壓縮碼/,acupuncture_concept/風池為什麼叫風池-古人穴名可能不是詩意而是壓縮碼.md,acupuncture_concept/風池為什麼叫風池-古人穴名可能不是詩意而是壓縮碼_日文.md
bianque-mirror-001,bianque-mirror,1,10,氣真的可以被測量嗎？《扁鵲鏡經》的第一把鑰匙,気は本当に測れるのか？――『扁鵲鏡経』を読む第一の鍵,/mirror_classic-_of_bian_que/01-氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙/,/ja/mirror_classic-_of_bian_que/01-氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙/,Mirror_Classic _of_Bian_Que/氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙.md,Mirror_Classic _of_Bian_Que/氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙_日文.md
bianque-mirror-002,bianque-mirror,2,20,一呼一吸之間：什麼叫「平人一息」？,一呼一吸のあいだ――「平人一息」とは何か？,/mirror_classic-_of_bian_que/02-一呼一吸之間-什麼叫平人一息/,/ja/mirror_classic-_of_bian_que/02-一呼一吸之間-什麼叫平人一息/,Mirror_Classic _of_Bian_Que/一呼一吸之間-什麼叫平人一息.md,Mirror_Classic _of_Bian_Que/一呼一吸之間-什麼叫平人一息_日文.md
bianque-mirror-003,bianque-mirror,3,30,一息脈五動、氣行六寸：古人怎樣把氣化變成數字？,一息に脈五動、気は六寸――古人は気化をどう数値化したのか,/mirror_classic-_of_bian_que/03-一息脈五動氣行六寸-古人怎樣把氣化變成數字/,/ja/mirror_classic-_of_bian_que/03-一息脈五動氣行六寸-古人怎樣把氣化變成數字/,Mirror_Classic _of_Bian_Que/一息脈五動氣行六寸-古人怎樣把氣化變成數字.md,Mirror_Classic _of_Bian_Que/一息脈五動氣行六寸-古人怎樣把氣化變成數字_日文.md
bianque-mirror-004,bianque-mirror,4,40,「寸」不是公分：骨度如何成為人體自己的尺？,「寸」はセンチメートルではない――骨度はどう人体自身の物差しになるのか,/mirror_classic-_of_bian_que/04-寸不是公分-骨度如何成為人體自己的尺/,/ja/mirror_classic-_of_bian_que/04-寸不是公分-骨度如何成為人體自己的尺/,Mirror_Classic _of_Bian_Que/寸不是公分-骨度如何成為人體自己的尺.md,Mirror_Classic _of_Bian_Que/寸不是公分-骨度如何成為人體自己的尺_日文.md
