TranslationKey,DomainKey,DisplayOrder,DisplayTitleZh,DisplayTitleEn,LegacyZhFile,CleanZhFile,LegacyEnFile,CleanEnFile,ChineseURL,EnglishURL
spacetime-001,spacetime,01,01 第一性原理的經典萃取,01 Extracting First Principles from the Classics,src/content/docs/concept/01-第一性原理的經典萃取.md,src/content/docs/concept/第一性原理的經典萃取.md,src/content/docs/en/concept/01-第一性原理的經典萃取_英文.md,src/content/docs/en/concept/第一性原理的經典萃取_英文.md,/concept/01-第一性原理的經典萃取/,/en/concept/01-第一性原理的經典萃取/
spacetime-002,spacetime,02,02 以簡馭繁的模型化原則,02 The Modeling Principle of Governing Complexity with Simplicity,src/content/docs/concept/02-以簡馭繁的模型化原則.md,src/content/docs/concept/以簡馭繁的模型化原則.md,src/content/docs/en/concept/02-以簡馭繁的模型化原則_英文.md,src/content/docs/en/concept/以簡馭繁的模型化原則_英文.md,/concept/02-以簡馭繁的模型化原則/,/en/concept/02-以簡馭繁的模型化原則/
spacetime-006,spacetime,03,03 奧卡姆剃刀法則的有效性,03 The Validity of Occam's Razor,src/content/docs/concept/06-奧卡姆剃刀法則的有效性.md,src/content/docs/concept/奧卡姆剃刀法則的有效性.md,src/content/docs/en/concept/06-奧卡姆剃刀法則的有效性_英文.md,src/content/docs/en/concept/奧卡姆剃刀法則的有效性_英文.md,/concept/06-奧卡姆剃刀法則的有效性/,/en/concept/06-奧卡姆剃刀法則的有效性/
spacetime-009,spacetime,04,04 以外揣內與不可見本質的驗證,04 Inferring the Interior from the Exterior and Testing the Invisible,src/content/docs/concept/09-以外揣內與不可見本質的驗證.md,src/content/docs/concept/以外揣內與不可見本質的驗證.md,src/content/docs/en/concept/09-以外揣內與不可見本質的驗證_英文.md,src/content/docs/en/concept/以外揣內與不可見本質的驗證_英文.md,/concept/09-以外揣內與不可見本質的驗證/,/en/concept/09-以外揣內與不可見本質的驗證/
spacetime-010,spacetime,05,05 正確歷法的時間刻度規律,05 Correct Calendars and the Law of Temporal Scales,src/content/docs/concept/10-正確歷法的時間刻度規律.md,src/content/docs/concept/正確歷法的時間刻度規律.md,src/content/docs/en/concept/10-正確歷法的時間刻度規律_英文.md,src/content/docs/en/concept/正確歷法的時間刻度規律_英文.md,/concept/10-正確歷法的時間刻度規律/,/en/concept/10-正確歷法的時間刻度規律/
spacetime-003,spacetime,06,06 符號化能量共振原則,06 The Principle of Symbolic Energy Resonance,src/content/docs/concept/03-符號化能量共振原則.md,src/content/docs/concept/符號化能量共振原則.md,src/content/docs/en/concept/03-符號化能量共振原則_英文.md,src/content/docs/en/concept/符號化能量共振原則_英文.md,/concept/03-符號化能量共振原則/,/en/concept/03-符號化能量共振原則/
spacetime-004,spacetime,07,07 時間全息規律的世界映射,07 Temporal Holography and the Mapping of the World,src/content/docs/concept/04-全息規律的世界映射.md,src/content/docs/concept/全息規律的世界映射.md,src/content/docs/en/concept/04-全息規律的世界映射_英文.md,src/content/docs/en/concept/全息規律的世界映射_英文.md,/concept/04-全息規律的世界映射/,/en/concept/04-全息規律的世界映射/
spacetime-005,spacetime,08,08 空間全息映射規律,08 The Law of Spatial Holographic Mapping,src/content/docs/concept/05-空間全息映射規律.md,src/content/docs/concept/空間全息映射規律.md,src/content/docs/en/concept/05-空間全息映射規律_英文.md,src/content/docs/en/concept/空間全息映射規律_英文.md,/concept/05-空間全息映射規律/,/en/concept/05-空間全息映射規律/
spacetime-008,spacetime,09,09 常變原則的擬合規律,09 Fitting the Principle of Constancy and Change,src/content/docs/concept/08-常變原則的擬合規律.md,src/content/docs/concept/常變原則的擬合規律.md,src/content/docs/en/concept/08-常變原則的擬合規律_英文.md,src/content/docs/en/concept/常變原則的擬合規律_英文.md,/concept/08-常變原則的擬合規律/,/en/concept/08-常變原則的擬合規律/
spacetime-007,spacetime,10,10 跨尺度技術搭配原則,10 The Principle of Cross-Scale Model Integration,src/content/docs/concept/07-跨尺度技術搭配原則.md,src/content/docs/concept/跨尺度技術搭配原則.md,src/content/docs/en/concept/07-跨尺度技術搭配原則_英文.md,src/content/docs/en/concept/跨尺度技術搭配原則_英文.md,/concept/07-跨尺度技術搭配原則/,/en/concept/07-跨尺度技術搭配原則/
spacetime-011,spacetime,11,11 年尺度陰陽時間模型,11 Annual Yin-Yang Time Model,src/content/docs/concept/11-年尺度陰陽時間模型.md,src/content/docs/concept/年尺度陰陽時間模型.md,src/content/docs/en/concept/11-年尺度陰陽時間模型_英文.md,src/content/docs/en/concept/年尺度陰陽時間模型_英文.md,/concept/11-年尺度陰陽時間模型/,/en/concept/11-年尺度陰陽時間模型/
spacetime-012,spacetime,12,12 日尺度陰陽時間模型,12 Daily Yin-Yang Time Model,src/content/docs/concept/12-日尺度陰陽時間模型.md,src/content/docs/concept/日尺度陰陽時間模型.md,src/content/docs/en/concept/12-日尺度陰陽時間模型_英文.md,src/content/docs/en/concept/日尺度陰陽時間模型_英文.md,/concept/12-日尺度陰陽時間模型/,/en/concept/12-日尺度陰陽時間模型/
spacetime-013,spacetime,13,13 人體陰陽空間幾何對稱模型,13 Human Yin-Yang Spatial Geometric Symmetry Model,src/content/docs/concept/13-人體陰陽空間幾何對稱模型.md,src/content/docs/concept/人體陰陽空間幾何對稱模型.md,src/content/docs/en/concept/13-人體陰陽空間幾何對稱模型_英文.md,src/content/docs/en/concept/人體陰陽空間幾何對稱模型_英文.md,/concept/13-人體陰陽空間幾何對稱模型/,/en/concept/13-人體陰陽空間幾何對稱模型/
spacetime-014,spacetime,14,14 天地的陰陽空間模型,14 Heaven-Earth Yin-Yang Spatial Model,src/content/docs/concept/14-天地的陰陽空間模型.md,src/content/docs/concept/天地的陰陽空間模型.md,src/content/docs/en/concept/14-天地的陰陽空間模型_英文.md,src/content/docs/en/concept/天地的陰陽空間模型_英文.md,/concept/14-天地的陰陽空間模型/,/en/concept/14-天地的陰陽空間模型/
spacetime-015,spacetime,15,15 四象時間模型（陰陽互含規律）,15 Four Images Time Model: The Law of Mutual Inclusion of Yin and Yang,src/content/docs/concept/15-四象時間模型（陰陽互含規律）.md,src/content/docs/concept/四象時間模型（陰陽互含規律）.md,src/content/docs/en/concept/15-四象時間模型（陰陽互含規律）_英文.md,src/content/docs/en/concept/四象時間模型（陰陽互含規律）_英文.md,/concept/15-四象時間模型陰陽互含規律/,/en/concept/15-四象時間模型陰陽互含規律/
spacetime-016,spacetime,16,16 月相四象變化模型,16 Four Images Model of Lunar Phases,src/content/docs/concept/16-月相四象變化模型.md,src/content/docs/concept/月相四象變化模型.md,src/content/docs/en/concept/16-月相四象變化模型_英文.md,src/content/docs/en/concept/月相四象變化模型_英文.md,/concept/16-月相四象變化模型/,/en/concept/16-月相四象變化模型/
spacetime-017,spacetime,17,17 五行相生年尺度模型,17 Annual Five-Phase Generating Cycle Model,src/content/docs/concept/17-五行相生年尺度模型.md,src/content/docs/concept/五行相生年尺度模型.md,src/content/docs/en/concept/17-五行相生年尺度模型_英文.md,src/content/docs/en/concept/五行相生年尺度模型_英文.md,/concept/17-五行相生年尺度模型/,/en/concept/17-五行相生年尺度模型/
spacetime-018,spacetime,18,18 天干十日五行時間週期模型,18 Ten-Day Five-Phase Cycle of the Heavenly Stems,src/content/docs/concept/18-天干十日五行時間週期模型.md,src/content/docs/concept/天干十日五行時間週期模型.md,src/content/docs/en/concept/18-天干十日五行時間週期模型_英文.md,src/content/docs/en/concept/天干十日五行時間週期模型_英文.md,/concept/18-天干十日五行時間週期模型/,/en/concept/18-天干十日五行時間週期模型/
spacetime-019,spacetime,19,19 五行中土空間模型,19 Five-Phase Spatial Model with Earth at the Center,src/content/docs/concept/19-五行中土空間模型.md,src/content/docs/concept/五行中土空間模型.md,src/content/docs/en/concept/19-五行中土空間模型_英文.md,src/content/docs/en/concept/五行中土空間模型_英文.md,/concept/19-五行中土空間模型/,/en/concept/19-五行中土空間模型/
