locale,translationKey,guideOrder,localizedTitle,localizedSlug,repoPath
en,qihua-physiology-001,10,Understanding Principles as a Physician: General Framework of Heaven-Human Qi Transformation,en/qihua_physiology_concept/01-醫者明理與天人氣化總綱,src/content/docs/en/qihua_physiology_concept/醫者明理與天人氣化總綱_英文.md
en,qihua-physiology-002,20,"One Qi, Yin-Yang, Clear and Turbid, and the Pivot of Central Qi",en/qihua_physiology_concept/02-一氣陰陽清濁與中氣樞軸,src/content/docs/en/qihua_physiology_concept/一氣陰陽清濁與中氣樞軸_英文.md
en,qihua-physiology-003,30,"Four Images, Five Phases, and the Rhythm of Spring, Summer, Autumn, and Winter",en/qihua_physiology_concept/03-四象五行與春夏秋冬節律,src/content/docs/en/qihua_physiology_concept/四象五行與春夏秋冬節律_英文.md
en,qihua-physiology-004,40,Spleen-Stomach Central Earth and the Generation of the Five Phases in the Body,en/qihua_physiology_concept/04-脾胃中土與人體五行生成,src/content/docs/en/qihua_physiology_concept/脾胃中土與人體五行生成_英文.md
en,qihua-physiology-005,50,Diagrammatic Exploration of Origins: A General Map of Heaven-Earth-Human Qi Transformation,en/qihua_physiology_concept/05-探源圖解與天地人氣化總圖,src/content/docs/en/qihua_physiology_concept/探源圖解與天地人氣化總圖_英文.md
en,qihua-physiology-007,60,"Signs of Water and Fire and the Pathways of Up, Down, Left, and Right",en/qihua_physiology_concept/07-水火徵兆與上下左右道路,src/content/docs/en/qihua_physiology_concept/水火徵兆與上下左右道路_英文.md
en,qihua-physiology-008,70,"Generation, Growth, Gathering, Storage, and the Emotional Rhythms of the Five Zang",en/qihua_physiology_concept/08-生長收藏與五臟情志節律,src/content/docs/en/qihua_physiology_concept/生長收藏與五臟情志節律_英文.md
en,qihua-physiology-009,80,Temporal Governance of the Six Qi and Annual Climatic Segmentation,en/qihua_physiology_concept/09-六氣主時與年度氣候分段,src/content/docs/en/qihua_physiology_concept/六氣主時與年度氣候分段_英文.md
en,qihua-physiology-010,90,"Sitian, Zaiquan, and the Climate of the Upper and Lower Halves of the Year",en/qihua_physiology_concept/10-司天在泉與上下半年氣候,src/content/docs/en/qihua_physiology_concept/司天在泉與上下半年氣候_英文.md
en,qihua-physiology-011,100,"Tianfu, Suihui, Taiyi Tianfu, and the Superposition of Movement and Qi",en/qihua_physiology_concept/11-天符歲會太乙天符與運氣疊加,src/content/docs/en/qihua_physiology_concept/天符歲會太乙天符與運氣疊加_英文.md
en,qihua-physiology-012,110,The Beginning of Human Life and the Formation of Ancestral Qi,en/qihua_physiology_concept/12-人生之始與祖氣成形,src/content/docs/en/qihua_physiology_concept/人生之始與祖氣成形_英文.md
en,qihua-physiology-013,120,General Theory of the Functional Network of the Five Zang and Six Fu,en/qihua_physiology_concept/13-五臟六腑功能網路總論,src/content/docs/en/qihua_physiology_concept/五臟六腑功能網路總論_英文.md
en,qihua-physiology-016,130,"Spleen and Stomach: Central Transportation, Transformation, and Distribution from the Great Granary",en/qihua_physiology_concept/16-脾胃中央運化與太倉輸布,src/content/docs/en/qihua_physiology_concept/脾胃中央運化與太倉輸布_英文.md
en,qihua-physiology-015,140,"Liver and Gallbladder Wind-Wood: Planning, Upright Judgment, and Decision",en/qihua_physiology_concept/15-肝膽風木謀慮與中正決斷,src/content/docs/en/qihua_physiology_concept/肝膽風木謀慮與中正決斷_英文.md
en,qihua-physiology-014,150,"Heart and Small Intestine: Sovereign Fire, Spirit, Transformation of Matter, and Blood Generation",en/qihua_physiology_concept/14-心與小腸君火神明與化物生血,src/content/docs/en/qihua_physiology_concept/心與小腸君火神明與化物生血_英文.md
