sequence,book,chapter_no,title,source_batch,source_filename,output_filename,translationKey,slug,source_sha256,output_sha256
1,suwen,2,四氣調神大論篇第二,batch2,四氣調神大論篇第二_時空模型標定_V0.18_修正版.md,四氣調神大論篇第二.md,wuyan-neijing-suwen-02,wuyan_liuse_neijing_concept/suwen-02-四氣調神大論篇第二,7fabbd9659722883fcc399ff10f87921e0c3656aecd646668a1a91d7acbbd597,922f0159ec5f05190723e1e5b6050605a2a10e3606698045cbc6e3d49abfe449
2,suwen,3,生氣通天論篇第三,batch2,生氣通天論篇第三_時空模型標定_V0.17_修正版.md,生氣通天論篇第三.md,wuyan-neijing-suwen-03,wuyan_liuse_neijing_concept/suwen-03-生氣通天論篇第三,07e4fb6d76d9258b555161dd9f0347cd36d896a9517ef779a2eb256ba32e800a,3a7fbc5892c4afa32d2d6449e61f70da8bf2792464f2bb58b7ec8f38fb54109f
3,suwen,9,六節藏象論篇第九,batch1,六節藏象論篇第九.md,六節藏象論篇第九.md,wuyan-neijing-suwen-09,wuyan_liuse_neijing_concept/09-六節藏象論篇第九,670764e4d0d0431ebd0dc09411ea4e21048dfdf37c5d50c8fa7c079524da63da,f02b96de7d276ccdfa5e71733611887cc345e3d89dc7d2dc709c3eda9dd97356
4,suwen,10,五藏生成篇第十,batch1,五藏生成篇第十.md,五藏生成篇第十.md,wuyan-neijing-suwen-10,wuyan_liuse_neijing_concept/10-五藏生成篇第十,63e0fa1e9050307c2b614bf1cde90de813f20d4648551fcbd7c8907828af4f0b,7331cb0be54f48b2c4d1070f87c0c29e7bfb9b160e239562bf1f13555dcd8570
5,suwen,11,五藏別論篇第十一,batch2,五藏別論篇第十一_時空模型標定_V0.19_修正版.md,五藏別論篇第十一.md,wuyan-neijing-suwen-11,wuyan_liuse_neijing_concept/suwen-11-五藏別論篇第十一,e86948544646dcdb3685f8925a2efb5e0704d44b23784db2a4c570090bc7ddfd,cddcd0b7c23afbfc8c16b7410073539e5c1cb37736ed996802d3d1d7962d85ad
6,suwen,22,藏氣法時論篇第二十二,batch1,藏氣法時論篇第二十二.md,藏氣法時論篇第二十二.md,wuyan-neijing-suwen-22,wuyan_liuse_neijing_concept/22-藏氣法時論篇第二十二,ec6fb8e1142500dbf96892d5bc46c597a98555039b64852491b7889a16247fef,2ad3caa9450cbec8fb81fe4601d9d42a622673813de11d3ffc1c750906c1fa28
7,suwen,23,宣明五氣篇第二十三,batch2,宣明五氣篇第二十三_時空模型標定_V0.20_修正版.md,宣明五氣篇第二十三.md,wuyan-neijing-suwen-23,wuyan_liuse_neijing_concept/suwen-23-宣明五氣篇第二十三,65de3849eaa5d8fc245cf6370b8422d301c65b80581cba820e3b8f3a3fcda929,2407508b26910498bdbe63b78f021088617f5a2c943d04802e917cc3f20d4fc4
8,suwen,32,刺熱篇第三十二,batch1,刺熱篇第三十二.md,刺熱篇第三十二.md,wuyan-neijing-suwen-32,wuyan_liuse_neijing_concept/32-刺熱篇第三十二,eb7dd2f984d2f07b531cf4937c42345e4de999ea23ce09fabcdfea6d0ca5fbb0,808bfb7936d39e4cd37d95656fd766d906c166891ded8c6fe59152f7c1b6fede
9,suwen,38,咳論篇第三十八,batch1,咳論篇第三十八.md,咳論篇第三十八.md,wuyan-neijing-suwen-38,wuyan_liuse_neijing_concept/38-咳論篇第三十八,2e9db73041924bcb9a3d76c8f819acd556a415c4e481d11a0f56ede79f008673,2e66ac1e5ebe324b3ebcce2fa4219c9253968172c7ef166b35e000691b646fc2
10,suwen,41,刺腰痛篇第四十一,batch2,刺腰痛篇第四十一_時空模型標定_V0.16_修正版.md,刺腰痛篇第四十一.md,wuyan-neijing-suwen-41,wuyan_liuse_neijing_concept/suwen-41-刺腰痛篇第四十一,ef614561b31353f728b5c9935d67b1ed7fc1cc792e37c2c6c6ff147fc3207dbe,50a87970742b088cd8f063c2bae6bcf5bc2162c67f0c4c3f14b9426bb6ce4d91
