DomainKey,TranslationKey,DisplayOrder,DisplayTitleZh,DisplayTitleEn,ChineseTitle,EnglishTitle,ChineseSourceFile,LegacyChineseSourceFile,EnglishSourceFile,LegacyEnglishSourceFile,ChinesePath,EnglishPath,Status,FilenamePolicy,URLPolicy
spacetime,spacetime-001,01,01 第一性原理的經典萃取,01 Extracting First Principles from the Classics,第一性原理的經典萃取,Extracting First Principles from the Classics,concept/第一性原理的經典萃取.md,concept/01-第一性原理的經典萃取.md,en/concept/第一性原理的經典萃取_英文.md,en/concept/01-第一性原理的經典萃取_英文.md,/concept/01-第一性原理的經典萃取/,/en/concept/01-第一性原理的經典萃取/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-002,02,02 以簡馭繁的模型化原則,02 The Modeling Principle of Governing Complexity with Simplicity,以簡馭繁的模型化原則,The Modeling Principle of Governing Complexity with Simplicity,concept/以簡馭繁的模型化原則.md,concept/02-以簡馭繁的模型化原則.md,en/concept/以簡馭繁的模型化原則_英文.md,en/concept/02-以簡馭繁的模型化原則_英文.md,/concept/02-以簡馭繁的模型化原則/,/en/concept/02-以簡馭繁的模型化原則/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-006,03,03 奧卡姆剃刀法則的有效性,03 The Validity of Occam's Razor,奧卡姆剃刀法則的有效性,The Validity of Occam's Razor,concept/奧卡姆剃刀法則的有效性.md,concept/06-奧卡姆剃刀法則的有效性.md,en/concept/奧卡姆剃刀法則的有效性_英文.md,en/concept/06-奧卡姆剃刀法則的有效性_英文.md,/concept/06-奧卡姆剃刀法則的有效性/,/en/concept/06-奧卡姆剃刀法則的有效性/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-009,04,04 以外揣內與不可見本質的驗證,04 Inferring the Interior from the Exterior and Testing the Invisible,以外揣內與不可見本質的驗證,Inferring the Interior from the Exterior and Testing the Invisible,concept/以外揣內與不可見本質的驗證.md,concept/09-以外揣內與不可見本質的驗證.md,en/concept/以外揣內與不可見本質的驗證_英文.md,en/concept/09-以外揣內與不可見本質的驗證_英文.md,/concept/09-以外揣內與不可見本質的驗證/,/en/concept/09-以外揣內與不可見本質的驗證/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-010,05,05 正確歷法的時間刻度規律,05 Correct Calendars and the Law of Temporal Scales,正確歷法的時間刻度規律,Correct Calendars and the Law of Temporal Scales,concept/正確歷法的時間刻度規律.md,concept/10-正確歷法的時間刻度規律.md,en/concept/正確歷法的時間刻度規律_英文.md,en/concept/10-正確歷法的時間刻度規律_英文.md,/concept/10-正確歷法的時間刻度規律/,/en/concept/10-正確歷法的時間刻度規律/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-003,06,06 符號化能量共振原則,06 The Principle of Symbolic Energy Resonance,符號化能量共振原則,The Principle of Symbolic Energy Resonance,concept/符號化能量共振原則.md,concept/03-符號化能量共振原則.md,en/concept/符號化能量共振原則_英文.md,en/concept/03-符號化能量共振原則_英文.md,/concept/03-符號化能量共振原則/,/en/concept/03-符號化能量共振原則/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-004,07,07 時間全息規律的世界映射,07 Temporal Holography and the Mapping of the World,時間全息規律的世界映射,Temporal Holography and the Mapping of the World,concept/全息規律的世界映射.md,concept/04-全息規律的世界映射.md,en/concept/全息規律的世界映射_英文.md,en/concept/04-全息規律的世界映射_英文.md,/concept/04-全息規律的世界映射/,/en/concept/04-全息規律的世界映射/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-005,08,08 空間全息映射規律,08 The Law of Spatial Holographic Mapping,空間全息映射規律,The Law of Spatial Holographic Mapping,concept/空間全息映射規律.md,concept/05-空間全息映射規律.md,en/concept/空間全息映射規律_英文.md,en/concept/05-空間全息映射規律_英文.md,/concept/05-空間全息映射規律/,/en/concept/05-空間全息映射規律/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-008,09,09 常變原則的擬合規律,09 Fitting the Principle of Constancy and Change,常變原則的擬合規律,Fitting the Principle of Constancy and Change,concept/常變原則的擬合規律.md,concept/08-常變原則的擬合規律.md,en/concept/常變原則的擬合規律_英文.md,en/concept/08-常變原則的擬合規律_英文.md,/concept/08-常變原則的擬合規律/,/en/concept/08-常變原則的擬合規律/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
spacetime,spacetime-007,10,10 跨尺度技術搭配原則,10 The Principle of Cross-Scale Model Integration,跨尺度技術搭配原則,The Principle of Cross-Scale Model Integration,concept/跨尺度技術搭配原則.md,concept/07-跨尺度技術搭配原則.md,en/concept/跨尺度技術搭配原則_英文.md,en/concept/07-跨尺度技術搭配原則_英文.md,/concept/07-跨尺度技術搭配原則/,/en/concept/07-跨尺度技術搭配原則/,translated-ready,numberless-Chinese-basename-plus-_英文,preserve-existing-legacy-slug
