translationKey,domain,originalOrder,guideOrder,traditionalTitle,localizedTitle,traditionalPath,localizedPath,traditionalFile,localizedFile
acupuncture-001,acupuncture,1,10,穴位也許不是「點」：《針灸甲乙經》裡隱藏的相位控制圖,穴位也许不是「点」：《针灸甲乙经》里隐藏的相位控制图,/acupuncture_concept/01-穴位也許不是點-針灸甲乙經裡隱藏的相位控制圖/,/zh-cn/acupuncture_concept/01-穴位也許不是點-針灸甲乙經裡隱藏的相位控制圖/,acupuncture_concept/穴位也許不是點-針灸甲乙經裡隱藏的相位控制圖.md,acupuncture_concept/穴位也许不是点-针灸甲乙经里隐藏的相位控制图_简体.md
acupuncture-002,acupuncture,2,20,三條幾何語法，為什麼能回溯近九成《甲乙經》穴位主治？,三条几何语法，为什么能回溯近九成《甲乙经》穴位主治？,/acupuncture_concept/02-三條幾何語法-為什麼能回溯近九成甲乙經穴位主治/,/zh-cn/acupuncture_concept/02-三條幾何語法-為什麼能回溯近九成甲乙經穴位主治/,acupuncture_concept/三條幾何語法-為什麼能回溯近九成甲乙經穴位主治.md,acupuncture_concept/三条几何语法-为什么能回溯近九成甲乙经穴位主治_简体.md
acupuncture-003,acupuncture,3,30,一個腳上的穴，為什麼會治頭與咽喉？遠端取穴的幾何答案,一个脚上的穴，为什么会治头与咽喉？远端取穴的几何答案,/acupuncture_concept/03-一個腳上的穴-為什麼會治頭與咽喉-遠端取穴的幾何答案/,/zh-cn/acupuncture_concept/03-一個腳上的穴-為什麼會治頭與咽喉-遠端取穴的幾何答案/,acupuncture_concept/一個腳上的穴-為什麼會治頭與咽喉-遠端取穴的幾何答案.md,acupuncture_concept/一个脚上的穴-为什么会治头与咽喉-远端取穴的几何答案_简体.md
acupuncture-004,acupuncture,4,40,井、滎、輸、經、合不是五個古老名詞：它們可能是一套邊界控制棧,井、荥、输、经、合不是五个古老名词：它们可能是一套边界控制栈,/acupuncture_concept/04-井滎輸經合不是五個古老名詞-它們可能是一套邊界控制棧/,/zh-cn/acupuncture_concept/04-井滎輸經合不是五個古老名詞-它們可能是一套邊界控制棧/,acupuncture_concept/井滎輸經合不是五個古老名詞-它們可能是一套邊界控制棧.md,acupuncture_concept/井荥输经合不是五个古老名词-它们可能是一套边界控制栈_简体.md
acupuncture-005,acupuncture,5,50,六氣真的寫在經絡相位上嗎？風、寒、濕、火窗口與一個意外的漏洞,六气真的写在经络相位上吗？风、寒、湿、火窗口与一个意外的漏洞,/acupuncture_concept/05-六氣真的寫在經絡相位上嗎-風寒濕火窗口與一個意外漏洞/,/zh-cn/acupuncture_concept/05-六氣真的寫在經絡相位上嗎-風寒濕火窗口與一個意外漏洞/,acupuncture_concept/六氣真的寫在經絡相位上嗎-風寒濕火窗口與一個意外漏洞.md,acupuncture_concept/六气真的写在经络相位上吗-风寒湿火窗口与一个意外漏洞_简体.md
acupuncture-006,acupuncture,6,60,風池為什麼叫「風池」？古人穴名可能不是詩意，而是壓縮碼,风池为什么叫「风池」？古人穴名可能不是诗意，而是压缩码,/acupuncture_concept/06-風池為什麼叫風池-古人穴名可能不是詩意而是壓縮碼/,/zh-cn/acupuncture_concept/06-風池為什麼叫風池-古人穴名可能不是詩意而是壓縮碼/,acupuncture_concept/風池為什麼叫風池-古人穴名可能不是詩意而是壓縮碼.md,acupuncture_concept/风池为什么叫风池-古人穴名可能不是诗意而是压缩码_简体.md
bianque-mirror-001,bianque-mirror,1,10,氣真的可以被測量嗎？《扁鵲鏡經》的第一把鑰匙,气真的可以被测量吗？《扁鹊镜经》的第一把钥匙,/mirror_classic-_of_bian_que/01-氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙/,/zh-cn/mirror_classic-_of_bian_que/01-氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙/,Mirror_Classic _of_Bian_Que/氣真的可以被測量嗎-扁鵲鏡經的第一把鑰匙.md,Mirror_Classic _of_Bian_Que/气真的可以被测量吗-扁鹊镜经的第一把钥匙_简体.md
bianque-mirror-002,bianque-mirror,2,20,一呼一吸之間：什麼叫「平人一息」？,一呼一吸之间：什么叫「平人一息」？,/mirror_classic-_of_bian_que/02-一呼一吸之間-什麼叫平人一息/,/zh-cn/mirror_classic-_of_bian_que/02-一呼一吸之間-什麼叫平人一息/,Mirror_Classic _of_Bian_Que/一呼一吸之間-什麼叫平人一息.md,Mirror_Classic _of_Bian_Que/一呼一吸之间-什么叫平人一息_简体.md
bianque-mirror-003,bianque-mirror,3,30,一息脈五動、氣行六寸：古人怎樣把氣化變成數字？,一息脉五动、气行六寸：古人怎样把气化变成数字？,/mirror_classic-_of_bian_que/03-一息脈五動氣行六寸-古人怎樣把氣化變成數字/,/zh-cn/mirror_classic-_of_bian_que/03-一息脈五動氣行六寸-古人怎樣把氣化變成數字/,Mirror_Classic _of_Bian_Que/一息脈五動氣行六寸-古人怎樣把氣化變成數字.md,Mirror_Classic _of_Bian_Que/一息脉五动气行六寸-古人怎样把气化变成数字_简体.md
bianque-mirror-004,bianque-mirror,4,40,「寸」不是公分：骨度如何成為人體自己的尺？,「寸」不是公分：骨度如何成为人体自己的尺？,/mirror_classic-_of_bian_que/04-寸不是公分-骨度如何成為人體自己的尺/,/zh-cn/mirror_classic-_of_bian_que/04-寸不是公分-骨度如何成為人體自己的尺/,Mirror_Classic _of_Bian_Que/寸不是公分-骨度如何成為人體自己的尺.md,Mirror_Classic _of_Bian_Que/寸不是公分-骨度如何成为人体自己的尺_简体.md
bianque-mirror-005,bianque-mirror,5,50,從六寸到二十二丈三尺六寸：氣如何走完人體一周？,从六寸到二十二丈三尺六寸：气如何走完人体一周？,/mirror_classic-_of_bian_que/05-從六寸到二十二丈三尺六寸-氣如何走完人體一周/,/zh-cn/mirror_classic-_of_bian_que/05-從六寸到二十二丈三尺六寸-氣如何走完人體一周/,Mirror_Classic _of_Bian_Que/從六寸到二十二丈三尺六寸-氣如何走完人體一周.md,Mirror_Classic _of_Bian_Que/从六寸到二十二丈三尺六寸-气如何走完人体一周_简体.md
bianque-mirror-006,bianque-mirror,6,60,人體為什麼要和一天對時？十二辰、百刻與五十營,人体为什么要和一天对时？十二辰、百刻与五十营,/mirror_classic-_of_bian_que/06-人體為什麼要和一天對時-十二辰百刻與五十營/,/zh-cn/mirror_classic-_of_bian_que/06-人體為什麼要和一天對時-十二辰百刻與五十營/,Mirror_Classic _of_Bian_Que/人體為什麼要和一天對時-十二辰百刻與五十營.md,Mirror_Classic _of_Bian_Que/人体为什么要和一天对时-十二辰百刻与五十营_简体.md
bianque-mirror-007,bianque-mirror,7,70,脈為什麼有快慢長短？一動一寸五分的意義,脉为什么有快慢长短？一动一寸五分的意义,/mirror_classic-_of_bian_que/07-脈為什麼有快慢長短-一動一寸五分的意義/,/zh-cn/mirror_classic-_of_bian_que/07-脈為什麼有快慢長短-一動一寸五分的意義/,Mirror_Classic _of_Bian_Que/脈為什麼有快慢長短-一動一寸五分的意義.md,Mirror_Classic _of_Bian_Que/脉为什么有快慢长短-一动一寸五分的意义_简体.md
bianque-mirror-008,bianque-mirror,8,80,音、息、脈其實是同一件事的不同投影,音、息、脉其实是同一件事的不同投影,/mirror_classic-_of_bian_que/08-音息脈其實是同一件事的不同投影/,/zh-cn/mirror_classic-_of_bian_que/08-音息脈其實是同一件事的不同投影/,Mirror_Classic _of_Bian_Que/音息脈其實是同一件事的不同投影.md,Mirror_Classic _of_Bian_Que/音息脉其实是同一件事的不同投影_简体.md
bianque-mirror-009,bianque-mirror,9,90,人為什麼有自己的「稟音」？,人为什么有自己的「禀音」？,/mirror_classic-_of_bian_que/09-人為什麼有自己的稟音/,/zh-cn/mirror_classic-_of_bian_que/09-人為什麼有自己的稟音/,Mirror_Classic _of_Bian_Que/人為什麼有自己的稟音.md,Mirror_Classic _of_Bian_Que/人为什么有自己的禀音_简体.md
bianque-mirror-010,bianque-mirror,10,100,甬、宮、商、角、徵、羽、穌：人體聲音的七層尺度,甬、宫、商、角、征、羽、稣：人体声音的七层尺度,/mirror_classic-_of_bian_que/10-甬宮商角徵羽穌-人體聲音的七層尺度/,/zh-cn/mirror_classic-_of_bian_que/10-甬宮商角徵羽穌-人體聲音的七層尺度/,Mirror_Classic _of_Bian_Que/甬宮商角徵羽穌-人體聲音的七層尺度.md,Mirror_Classic _of_Bian_Que/甬宫商角徵羽稣-人体声音的七层尺度_简体.md
bianque-mirror-011,bianque-mirror,11,110,一音十分：正、少、眾、開、判、質、虞、加、太、上,一音十分：正、少、众、开、判、质、虞、加、太、上,/mirror_classic-_of_bian_que/11-一音十分-正少眾開判質虞加太上/,/zh-cn/mirror_classic-_of_bian_que/11-一音十分-正少眾開判質虞加太上/,Mirror_Classic _of_Bian_Que/一音十分-正少眾開判質虞加太上.md,Mirror_Classic _of_Bian_Que/一音十分-正少众开判质虞加太上_简体.md
bianque-mirror-012,bianque-mirror,12,120,古人的音高不是高低而已：十分度究竟在量什麼？,古人的音高不是高低而已：十分度究竟在量什么？,/mirror_classic-_of_bian_que/12-古人的音高不是高低而已-十分度在量什麼/,/zh-cn/mirror_classic-_of_bian_que/12-古人的音高不是高低而已-十分度在量什麼/,Mirror_Classic _of_Bian_Que/古人的音高不是高低而已-十分度在量什麼.md,Mirror_Classic _of_Bian_Que/古人的音高不是高低而已-十分度在量什么_简体.md
